cell_id,class,model,raw_circularity_ae,closing_circularity_ae,dual_null_circularity_ae,benefit_closing,benefit_null,specific_advantage,raw_nucleus_dice,closing_nucleus_dice,dual_null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,dual_null_foreground_dice,raw_nc_ae,closing_nc_ae,dual_null_nc_ae,raw_area_ae,closing_area_ae,dual_null_area_ae,raw_invalid,closing_invalid,dual_null_invalid,raw_pred_circularity,gt_circularity,roundness_group
153956040-153956058-003,normal_columnar,baseline,0.010745571201065895,0.005345378750956309,0.004993410667501252,0.005400192450109587,0.0055336429427922385,0.0006371437822183523,0.9035893155258765,0.9032527105921602,0.9020016680567139,0.8747569742483662,0.874416859712186,0.8742888187390747,0.06850113432601013,0.06932778370024828,0.06932778370024828,438.0,442.0,442.0,0.0,0.0,0.0,0.7845876942566768,0.7953332654577427,under_circular
153956040-153956072-003,normal_columnar,baseline,0.05114947543048698,0.08555128553262425,0.08354710586934211,-0.04027107564818477,-0.04080993381346287,1.1307860203757514e-09,0.8313627878033603,0.833902514746973,0.832660664389941,0.8099705798069049,0.8114801327534257,0.8106855210790348,0.13864034710593648,0.1372803122351578,0.1372803122351578,512.0,505.0,505.0,0.0,0.0,0.0,0.6660604522289991,0.6149109767985121,over_circular
153956444-153956458-004,normal_columnar,baseline,0.04142756272421089,0.013500356188239304,0.012973006117997565,0.026402936952341194,0.02736897210587741,-0.0005273500702417389,0.9396051103368177,0.9417560127499276,0.9411764705882353,0.8936263197117276,0.8936211884199454,0.8940432070888567,0.05197245925722749,0.05032444380468415,0.05032444380468415,23.0,19.0,19.0,0.0,0.0,0.0,0.8031744798877826,0.8446020426119935,under_circular
153958154-153958211-001,normal_columnar,baseline,0.1685904733781054,0.15315892584480817,0.15271252689625436,0.01543154753329723,0.015877946481851035,-0.0005041318685986562,0.8056096610829763,0.8046692607003891,0.8046692607003891,0.7124982299617093,0.7115327465706011,0.7116514691160124,0.018904599503787978,0.018120943285391378,0.018120943285391378,499.0,502.0,502.0,0.0,0.0,0.0,0.6374228416208756,0.806013314998981,under_circular
153958547-153958572-002,normal_columnar,baseline,0.06362467232193825,0.07070330147477688,0.07070330147477688,-0.013901033739915247,-0.01458506994358566,6.634573668229393e-09,0.8529565672422815,0.8520648196549921,0.8531102979613173,0.8034807771037255,0.8029804747965665,0.8029804747965665,0.6212741185986929,0.6237893313771764,0.6237893313771764,259.0,261.0,261.0,0.0,0.0,0.0,0.7051283341911426,0.6415036618692044,over_circular
153958547-153958572-006,normal_columnar,baseline,0.01909197268920404,0.01777327494178249,0.01777328288963198,0.0,0.0,0.0,0.8448815377738041,0.8448815377738041,0.8448815377738041,0.7910644454990291,0.7910644454990291,0.7910644454990291,0.4031367164059353,0.4031367164059353,0.4031367164059353,347.0,347.0,347.0,0.0,0.0,0.0,0.7546799528076907,0.7737719254968948,under_circular
153958547-153958572-008,normal_columnar,baseline,0.17662878953034228,0.18177697958585987,0.18177697868688664,-0.005653190848222023,-0.005653190848222023,0.0,0.8386167146974063,0.8382141142582813,0.8391742678828612,0.6926498198062108,0.6918716188113183,0.6918716188113183,0.40727906569556693,0.4034681838880716,0.4034681838880716,114.0,115.0,115.0,0.0,0.0,0.0,0.5883275894140326,0.41169879988369035,over_circular
153958547-153958572-009,normal_columnar,baseline,0.03140909761031607,0.016319252429279563,0.013225060974050185,0.01508984518103651,0.01536855050861441,0.0,0.9104072398190045,0.9095840867992767,0.9095840867992767,0.7897514083283066,0.7897514083283066,0.7897514083283066,0.1524712283576734,0.15376310444458846,0.15376310444458846,198.0,200.0,200.0,0.0,0.0,0.0,0.7594744565841745,0.7908835541944905,under_circular
153958547-153958590-002,normal_columnar,baseline,0.6617095507315068,0.6481569051530989,0.657712976644307,0.013580138807777975,0.009892624277786477,0.005250871444106298,0.38517091959557054,0.3955152671755725,0.39122137404580154,0.46592355379934336,0.4714332916963335,0.4692538459439277,0.1962887616981639,0.192725328337638,0.192725328337638,335.0,260.0,260.0,0.0,0.0,0.0,0.17913352155585613,0.840843072287363,under_circular
154519964-154519981-001,light_dysplastic,baseline,0.03864198355180393,0.094512486018833,0.09451249023312647,-0.05601384122222364,-0.05587050668132254,-0.0004041784505156576,0.8445078459343794,0.8429718467323914,0.8431751194227055,0.8066936194233896,0.8050111669445836,0.805186614922454,0.20937863325766326,0.21570818429902472,0.21570818429902472,1468.0,1493.0,1493.0,0.0,0.0,0.0,0.5684173553416049,0.5297753717898009,over_circular
