cell_id,cf_severity,shape_perturbation,shape_severity,cf_dice,shape_dice,absolute_dice_difference,cf_abs_circ_change,shape_abs_circ_change,circ_change_diff,cf_abs_nc_change,shape_abs_nc_change,cf_perimeter_change
153698259-153698268-001,high,dilation,r1,0.9761620977353992,0.9706903200925568,0.005471777642842346,0.0996864566545873,0.0011780078518104,0.0985084488027769,0.0,0.1880728486012799,12.242639660835266
153698259-153698268-002,high,dilation,r1,0.9767711962833914,0.9683223992502344,0.00844879703315693,0.0122791090465654,0.0059463688450626,0.0063327402015028005,0.0,0.3018559777574976,1.4142135381698608
153701139-153701158-001,medium,dilation,r1,0.9794097460535348,0.954158480681074,0.025251265372460807,0.0098705550929428,0.0281709593084675,-0.0183004042155247,0.0,0.0623317805383022,1.4142132997512815
153701139-153701158-004,medium,dilation,r1,0.9770290964777948,0.9550274223034736,0.022001674174321195,0.0,0.0106373014789096,-0.0106373014789096,0.0,0.0897991277405791,0.0
153701139-153701158-004,high,erosion,r1,0.9540581929555896,0.9522663457681508,0.0017918471874387443,0.0543514164366822,0.0052286773409301,0.0491227390957521,0.0,0.0781075847296682,4.828426837921143
153701139-153701158-005,high,dilation,r1,0.9738675958188152,0.9638958858102435,0.009971710008571666,0.0016199611004266,0.012539071051429,-0.0109191099510024,0.0,0.1681848935775942,0.2426402568817138
153827595-153827604-002,high,dilation,r1,0.9737647573240052,0.9625420875420876,0.01122266978191766,0.0108706519858415,0.052719941903076,-0.0418492899172345,0.0,0.1170242206724772,-1.5147186517715454
153827595-153827618-002,high,dilation,r1,0.9630314232902032,0.958653278204371,0.00437814508583223,0.0157921028536175,0.0176595366010179,-0.0018674337474004002,0.0,0.11761902546869,1.656854271888733
153827595-153827657-002,high,dilation,r1,0.9722991689750692,0.9620253164556962,0.010273852519372961,0.0716084670254819,0.0245338943909529,0.04707457263452901,0.0,0.2047619242087281,-9.41421389579773
153828952-153828980-001,high,dilation,r1,0.9669785360484314,0.960867265996827,0.006111270051604389,0.045393569592632,0.0117283603411199,0.033665209251512104,0.0,0.3851980813956044,5.414214015007019
153828952-153829000-001,high,erosion,r1,0.9777448071216616,0.965861143076333,0.01188366404532859,0.029171248035713,0.0035676331689898,0.025603614866723197,0.0,0.8702060886215062,3.899494647979736
153828952-153829000-003,high,dilation,r1,0.9754299754299754,0.9661721068249258,0.009257868605049624,0.0102625624587056,0.0294675720350009,-0.019205009576295298,0.0,0.7045838255620973,1.4142132997512815
153830680-153830827-002,high,dilation,r1,0.9798183652875884,0.9766754270696452,0.003142938217943203,0.0155576758200639,0.0063242916854369,0.009233384134627001,0.0,0.476971112532548,1.9999998807907104
153831352-153831372-003,high,dilation,r1,0.9786704585851403,0.9698327874504395,0.008837671134700797,0.0204513294022725,0.0349252546414401,-0.014473925239167598,0.0,0.1767718268525311,-3.414213061332702
153915432-153915441-002,high,dilation,r1,0.9796472184531886,0.9686216527024808,0.011025565750707789,0.0097065868382514,0.0098713116747162,-0.00016472483646479998,0.0,0.1293922761212481,1.4142134189605713
153915432-153915472-001,high,dilation,r1,0.9794450154162384,0.9686411149825784,0.010803900433659974,0.0041461608459006,0.0096375888614129,-0.0054914280155123,0.0,0.0432716399217981,0.5857864618301392
153915634-153915665-003,high,dilation,r1,0.9678628816282808,0.9631158111942224,0.00474707043405842,0.0144505616282772,0.0065880550724891,0.007862506555788101,0.0,0.2844684241306849,1.41421377658844
153915634-153915665-006,high,dilation,r1,0.973297730307076,0.9635506003430532,0.009747129964022827,0.0061130071229882,0.0126295812250629,-0.0065165741020747,0.0,0.1078387270402356,0.828426718711853
153915634-153915665-007,high,dilation,r1,0.97539975399754,0.9657493565630568,0.009650397434483149,0.0076074161251892,0.030249625465398,-0.022642209340208802,0.0,0.1312779436273355,1.071067452430725
153915726-153915736-001,high,dilation,r1,0.9727272727272728,0.9623797025371827,0.010347570190090027,0.0164146240451793,0.0783947131267359,-0.061980089081556604,0.0,0.0943849780277885,-2.343146085739136
153916001-153916020-001,high,dilation,r1,0.9775280898876404,0.967741935483871,0.009786154403769398,0.0265955701627511,0.0085783441013231,0.018017226061428,0.0,0.0981969164658401,3.414213538169861
153916001-153916020-003,high,dilation,r1,0.9662542182227222,0.9592662530347992,0.006987965187922995,0.0107710991677023,0.0296024035213963,-0.018831304353694,0.0,0.0661608428103619,1.3137080669403076
153916114-153916150-001,high,dilation,r1,0.9785943631823046,0.9658855961405928,0.012708767041711866,0.0019630926581495,0.024441069093763,-0.0224779764356135,0.0,0.2215614724516801,-0.3431459665298462
