cell_id,benefit_area,benefit_perimeter,benefit_full,benefit_perimeter_minus_area
153956040-153956058-003,0.0005246908343223833,0.004872243316645486,0.005400192450109587,0.004347552482323103
153956040-153956072-003,-0.005365931283722203,-0.034613109292090494,-0.04027107564818477,-0.02924717800836829
153956444-153956458-004,0.004241298283160333,0.029625006253264807,0.026402936952341194,0.025383707970104474
153958154-153958211-001,0.0019673544494471784,0.013422764797438202,0.01543154753329723,0.011455410347991024
153958547-153958572-002,-0.002017094535846753,-0.011848917772229406,-0.013901033739915247,-0.009831823236382653
153958547-153958572-006,0.0,0.0,0.0,0.0
153958547-153958572-008,-0.0008704724762395033,-0.004775746479312004,-0.005653190848222023,-0.003905274003072501
153958547-153958572-009,0.001982962027634927,0.013072750645189535,0.01508984518103651,0.011089788617554608
153958547-153958590-002,0.007172744572167322,0.007826094502512704,0.013580138807777975,0.0024823993308829007
154519964-154519981-001,-0.004106155270853451,-0.05191493643497258,-0.05601384122222364,-0.048176124297996004
157181481-157181497-004,-0.0031227361265857567,-0.021240397185663396,-0.02444632024639659,-0.01811766105907764
157181671-157181697-001,0.014691112569712006,0.06789956049344448,0.08362294857310637,0.05237898395266616
157183193-157183279-001,0.019569968056784792,0.08920321205636805,0.11133649080442787,0.06963324399958326
157183828-157183877-001,0.01282942059661829,0.09368812342058608,0.10830108052129161,0.08037097457474207
157183964-157183980-001,0.024054843725663466,0.10765943980151682,0.13562127932642887,0.08360459607585335
157184013-157184031-001,0.019569968056784792,0.09159563536822468,0.10449562011678826,0.07202566731143989
157184850-157184920-002,-0.001929458164001585,-0.014599354547831234,-0.01656904363373435,-0.012669896383829649
157184850-157184942-001,0.013816663230792808,0.03765314485836646,0.05266766397240785,0.023836481627573652
157185208-157185238-001,0.012170090503895503,0.056785809303774526,0.06892864674253985,0.04540841277511454
157185433-157185479-002,-0.001105666164276431,-0.007837106574536068,-0.008932918119339939,-0.0067510184870206436
157185433-157185479-003,-0.0012647039878274091,-0.007905274512131188,-0.009182203151265944,-0.006640570524303779
157185433-157185479-004,0.0,0.0,0.0,0.0
157185433-157185479-006,0.0,0.0,0.0,0.0
157185433-157185508-001,-0.0015970728753792462,-0.011674445937870925,-0.013296157109285112,-0.010077373062491679
157185730-157185758-001,-0.0009276833270033258,-0.007153359001281612,-0.008094390914436922,-0.0063985272491520195
157185781-157185793-003,0.0,0.0,0.0,0.0
157222534-157222607-001,0.024113368688579495,0.08006026737921812,0.10539135719745285,0.05831674593086089
