cell_id,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,closing_benefit_circularity_ae,null_benefit_circularity_ae
149182125-149182135-002,0.00424591428299137,0.0020509916931595873,0.0021949225898317826,-0.00424591428299137,-0.0020509916931595873
149182657-149182667-001,0.02127721804139937,-0.008114919656410202,0.029392137697809573,-0.02127721804139937,0.008114919656410202
149182657-149182681-002,-0.005596725690277471,0.0,-0.005596725690277471,0.005596725690277471,0.0
149182657-149182698-003,0.01044058947135229,0.0014611317765815812,0.00897945769477071,-0.01044058947135229,-0.0014611317765815812
149185604-149185616-001,-0.013150484288987574,0.001839910375011189,-0.014990394663998763,0.013150484288987574,-0.001839910375011189
149185604-149185645-003,0.0008416012113410254,0.0007497866933068309,9.181451803419449e-05,-0.0008416012113410254,-0.0007497866933068309
149185604-149185657-001,0.03266620108560314,0.003149699019607377,0.029516502065995764,-0.03266620108560314,-0.003149699019607377
149185698-149185709-002,0.03273646471738889,-0.00323308196894434,0.03596954668633323,-0.03273646471738889,0.00323308196894434
149185788-149185824-001,-0.017279716347267993,0.0029393753654328725,-0.020219091712700865,0.017279716347267993,-0.0029393753654328725
149190861-149190868-001,-0.06035362431225577,-0.005881042316476015,-0.054472581995779756,0.06035362431225577,0.005881042316476015
149314453-149314465-001,-0.011382860280087725,-0.001997920757111693,-0.009384939522976032,0.011382860280087725,0.001997920757111693
149314453-149314507-001,0.0,0.0,0.0,0.0,0.0
149314453-149314507-002,0.00767019989394091,0.005353998830461393,0.002316201063479517,-0.00767019989394091,-0.005353998830461393
149314679-149314698-001,0.018684734568213623,-0.006196863443722278,0.0248815980119359,-0.018684734568213623,0.006196863443722278
149315229-149315310-001,-0.004851435864915876,-0.009915902148695421,0.005064466283779545,0.004851435864915876,0.009915902148695421
149315671-149315731-001,0.021007647843987676,-0.007457028081977124,0.0284646759259648,-0.021007647843987676,0.007457028081977124
149315671-149315740-001,0.004037143704356372,-0.006970105888976397,0.011007249593332769,-0.004037143704356372,0.006970105888976397
149316426-149316462-004,0.013917534826339617,0.0,0.013917534826339617,-0.013917534826339617,0.0
149316754-149316779-002,-0.02995920539808139,-0.00225827481609564,-0.02770093058198575,0.02995920539808139,0.00225827481609564
149317002-149317010-002,0.034139781454341045,-0.014099888766342716,0.04823967022068376,-0.034139781454341045,0.014099888766342716
149317204-149317230-002,0.01710026005712273,-0.0002484050190595388,0.017348665076182268,-0.01710026005712273,0.0002484050190595388
149788987-149788996-003,0.07544611065120199,0.01580849050043065,0.05963762015077134,-0.07544611065120199,-0.01580849050043065
153268807-153268826-001,-0.12320650234404551,-0.010525191569937031,-0.11268131077410848,0.12320650234404551,0.010525191569937031
153276386-153276405-001,0.008450489649693083,-0.0034456623498115846,0.011896151999504667,-0.008450489649693083,0.0034456623498115846
153276386-153276405-002,-0.018945052753599312,0.004863044247154724,-0.023808097000754036,0.018945052753599312,-0.004863044247154724
153276386-153276414-001,0.0,0.0,0.0,0.0,0.0
153314466-153314473-003,-0.10345607063229778,-0.014482505017959224,-0.08897356561433856,0.10345607063229778,0.014482505017959224
153654869-153654880-001,0.10490709700292133,-0.0037253367717828834,0.10863243377470422,-0.10490709700292133,0.0037253367717828834
153655016-153655039-005,-0.019158060448042802,0.005837620159911627,-0.02499568060795443,0.019158060448042802,-0.005837620159911627
153655087-153655101-002,-0.03302235573182444,0.0009299406375703478,-0.033952296369394785,0.03302235573182444,-0.0009299406375703478
153656862-153656873-001,-0.07004495439971714,-0.00983679814719518,-0.06020815625252196,0.07004495439971714,0.00983679814719518
153657121-153657160-001,0.012371848560307153,-0.008136447302079186,0.02050829586238634,-0.012371848560307153,0.008136447302079186
153659229-153659264-001,-0.008525581049171782,0.002063779016683198,-0.01058936006585498,0.008525581049171782,-0.002063779016683198
153697342-153697375-001,0.01567122325659054,0.0008046637038282567,0.014866559552762282,-0.01567122325659054,-0.0008046637038282567
