cell_id,class,model,seed,raw_perimeter,closing_perimeter,null_perimeter,delta_perimeter_closing,delta_perimeter_null,delta_area_closing,delta_area_null,abs_delta_area_closing_minus_null,closing_fallback_to_raw,null_target_reduction,null_achieved_reduction,null_matching_error_abs,null_matching_error_pct,null_raw_fallback,null_within_tolerance
153958547-153958572-008,normal_columnar,nc_aware_lambda_0p10,20260803,168.2253955602646,167.63960897922516,167.63960886001587,-0.5857865810394287,-0.5857867002487183,1,-5,6,False,0.5857865810394287,0.5857867002487183,1.1920928955078125e-07,2.0350293675088025e-07,False,True
153958547-153958572-009,normal_columnar,nc_aware_lambda_0p10,20260803,138.56854128837585,137.98275470733643,137.982754945755,-0.5857865810394287,-0.5857863426208496,1,-13,14,False,0.5857865810394287,0.5857863426208496,2.384185791015625e-07,4.070058735017605e-07,False,True
153958547-153958590-002,normal_columnar,nc_aware_lambda_0p10,20260803,237.0538227558136,225.92387986183167,231.43859839439392,-11.129942893981934,-5.615224361419678,19,-33,52,False,11.129942893981934,5.615224361419678,5.514718532562256,0.4954848901825109,False,False
154519964-154519981-001,light_dysplastic,nc_aware_lambda_0p10,20260803,306.7523070573807,294.45079147815704,301.2203427553177,-12.301515579223633,-5.531964302062988,21,-140,161,False,12.301515579223633,5.531964302062988,6.7695512771606445,0.5503022154923679,False,False
157181481-157181497-004,normal_columnar,nc_aware_lambda_0p10,20260803,136.0832600593567,132.56854164600372,133.39696860313416,-3.5147184133529663,-2.686291456222534,6,-30,36,False,3.5147184133529663,2.686291456222534,0.8284269571304321,0.23570222695027523,False,False
157181671-157181697-001,normal_superficiel,nc_aware_lambda_0p10,20260803,95.89949476718903,91.79898953437805,91.5979791879654,-4.100505232810974,-4.301515579223633,7,-50,57,False,4.100505232810974,4.301515579223633,0.2010103464126587,0.04902087303882363,False,True
157183193-157183279-001,normal_superficiel,nc_aware_lambda_0p10,20260803,103.55634891986847,97.11269783973694,98.56854128837585,-6.443651080131531,-4.987807631492615,11,-56,67,False,6.443651080131531,4.987807631492615,1.455843448638916,0.22593455643926622,False,False
157183828-157183877-001,normal_intermediate,nc_aware_lambda_0p10,20260803,154.62741661071777,145.25483322143555,149.7817441225052,-9.372583389282227,-4.8456724882125854,16,-80,96,False,9.372583389282227,4.8456724882125854,4.526910901069641,0.48299499860905715,False,False
157183964-157183980-001,normal_superficiel,nc_aware_lambda_0p10,20260803,105.79898953437805,97.5979790687561,99.39696848392487,-8.201010465621948,-6.402021050453186,14,-70,84,False,8.201010465621948,6.402021050453186,1.7989894151687622,0.21936192164489945,False,False
157184013-157184031-001,normal_superficiel,nc_aware_lambda_0p10,20260803,281.49747383594513,260.16652035713196,254.26702558994293,-21.33095347881317,-27.230448246002197,58,-83,141,False,21.33095347881317,27.230448246002197,5.899494767189026,0.27656967012977923,False,False
157184850-157184920-002,normal_columnar,nc_aware_lambda_0p10,20260803,173.78174459934235,171.43859887123108,171.4385987520218,-2.343145728111267,-2.3431458473205566,4,-46,50,False,2.343145728111267,2.3431458473205566,1.1920928955078125e-07,5.0875747129425e-08,False,True
157184850-157184942-001,normal_superficiel,nc_aware_lambda_0p10,20260803,112.48528122901917,108.97056245803833,110.87005710601807,-3.514718770980835,-1.6152241230010986,6,-13,19,False,3.514718770980835,1.6152241230010986,1.8994946479797363,0.5404400100693274,False,False
157185208-157185238-001,normal_superficiel,nc_aware_lambda_0p10,20260803,110.72792184352875,105.4558436870575,108.28427076339722,-5.272078156471252,-2.4436510801315308,9,-12,21,False,5.272078156471252,2.4436510801315308,2.8284270763397217,0.5364918714014031,False,False
157185433-157185479-002,normal_columnar,nc_aware_lambda_0p10,20260803,144.32590091228485,141.9827550649643,143.0538227558136,-2.3431458473205566,-1.2720781564712524,4,-53,57,False,2.3431458473205566,1.2720781564712524,1.0710676908493042,0.45710671065315706,False,False
157185433-157185479-003,normal_columnar,nc_aware_lambda_0p10,20260803,128.32590079307556,127.74011433124542,127.74011421203613,-0.5857864618301392,-0.5857865810394287,1,-1,2,False,0.5857864618301392,0.5857865810394287,1.1920928955078125e-07,2.0350297816433394e-07,False,True
157185433-157185479-004,normal_columnar,nc_aware_lambda_0p10,20260803,136.8111822605133,135.0538228750229,134.95331799983978,-1.7573593854904175,-1.857864260673523,8,-114,122,False,1.7573593854904175,1.857864260673523,0.10050487518310547,0.057190848959479096,False,True
157185433-157185479-006,normal_columnar,nc_aware_lambda_0p10,20260803,274.45079123973846,271.5218585729599,272.6934320926666,-2.9289326667785645,-1.7573591470718384,5,-65,70,False,2.9289326667785645,1.7573591470718384,1.171573519706726,0.40000015466224453,False,False
157185433-157185508-001,normal_columnar,nc_aware_lambda_0p10,20260803,164.2253955602646,163.63960897922516,163.63960945606232,-0.5857865810394287,-0.5857861042022705,1,-8,9,False,0.5857865810394287,0.5857861042022705,4.76837158203125e-07,8.14011747003521e-07,False,True
