cell_id,class,model,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,delta_closing_perimeter_ae,delta_null_perimeter_ae,delta_specific_perimeter_ae,delta_closing_nc_ae,delta_null_nc_ae,delta_specific_nc_ae,delta_closing_area_ae,delta_null_area_ae,delta_specific_area_ae,delta_closing_nucleus_dice,delta_null_nucleus_dice,delta_specific_nucleus_dice,delta_closing_foreground_dice,delta_null_foreground_dice,delta_specific_foreground_dice,closing_benefit_circularity_ae,null_benefit_circularity_ae,raw_circularity_signed_bias,roundness_group,raw_invalid_rate,closing_invalid_rate,null_invalid_rate
149099276-149099290-002,light_dysplastic,baseline,-0.0238805575929274,-0.01427556242424799,-0.009604995168679409,-11.247692823410034,-9.147188544273376,-2.1005042791366577,-0.0011111885468487182,0.004453839856357972,-0.00556502840320669,3.0,-24.0,27.0,0.0009942971435911163,-0.006485729938683349,0.007480027082274465,0.0025289667238690416,-0.008876638097194078,0.01140560482106312,0.0238805575929274,0.01427556242424799,-0.07624593457028028,under_circular,0.0,0.0,0.0
149099502-149099525-002,light_dysplastic,baseline,-0.03111069977989589,-0.002351394299437204,-0.028759305480458686,-16.745166897773743,-3.8751102685928345,-12.870056629180908,-0.0012499120878581294,0.005825111312730502,-0.0070750234005886314,28.0,-93.0,121.0,-0.0021049575077303206,0.00175024383171829,-0.0038552013394486107,-0.0017012974246473078,0.0026417539720605676,-0.004343051396707875,0.03111069977989589,0.002351394299437204,-0.07604940305932084,under_circular,0.0,0.0,0.0
149100006-149100028-002,severe_dysplastic,baseline,0.0,0.0,0.0,6.686291694641113,3.4730886220932007,3.2132030725479126,-0.0012196003410637202,0.00017400804269329662,-0.0013936083837570168,-7.0,1.0,-8.0,0.003754591307709887,-0.0005378412054974357,0.004292432513207323,0.0021039771194845125,-0.00030127797861556616,0.0024052550981000786,0.0,0.0,-0.08771611810206253,under_circular,0.0,0.0,0.0
149100064-149100072-001,moderate_dysplastic,baseline,-0.15253016110549833,-0.011676866952283094,-0.14085329415321524,-45.24769449234009,-10.720782160758972,-34.526912331581116,0.004565399197788589,-0.021638479728067372,0.02620387892585596,52.0,-251.0,303.0,-0.002845064785410134,0.014422664919782058,-0.017267729705192192,-0.0021559156016563996,0.010730574809778348,-0.012886490411434748,0.15253016110549833,0.011676866952283094,-0.27067534179381325,under_circular,0.0,0.0,0.0
149101620-149101650-001,moderate_dysplastic,baseline,0.01485829827265317,-0.0025666591798484406,0.01742495745250161,5.857864856719971,2.4020206928253174,3.4558441638946533,-0.0014901822771613005,0.010052529520456488,-0.011542711797617788,-10.0,68.0,-78.0,0.0011458154185032265,-0.007636331969341326,0.008782147387844552,0.000798832607247224,-0.005347714905964085,0.006146547513211309,-0.01485829827265317,0.0025666591798484406,-0.010617820419891344,under_circular,0.0,0.0,0.0
149102442-149102451-001,light_dysplastic,baseline,-0.004078102881456491,-0.003614739605274364,-0.00046336327618212714,-0.5857864618301392,-0.5857864618301392,0.0,-0.00025334565689894006,0.0002532625382450915,-0.0005066081951440315,-1.0,1.0,-2.0,0.00015172670019436563,-0.00015177122093956719,0.0003034979211339328,0.00010888786755647306,-0.00010890478631686573,0.0002177926538733388,0.004078102881456491,0.003614739605274364,-0.10238854333362679,under_circular,0.0,0.0,0.0
149102510-149102519-001,moderate_dysplastic,baseline,0.03977614137394314,0.002161283873368225,0.037614857500574916,6.443651080131531,2.88730251789093,3.5563485622406006,-0.0017683775262536394,0.013980460263620376,-0.015748837789874015,-11.0,82.0,-93.0,0.0008203401842664659,-0.005240267684196831,0.006060607868463297,0.0005954338020762728,-0.0033329126433437883,0.003928346445420061,-0.03977614137394314,-0.002161283873368225,0.04484799416785501,over_circular,0.0,0.0,0.0
149105003-149105050-001,light_dysplastic,baseline,-0.0129263965534967,0.01262638956396167,-0.02555278611745837,1.8994944095611572,1.7573590278625488,0.1421353816986084,-0.001178799025464472,0.022384750158145117,-0.02356354918360959,-14.0,84.0,-98.0,0.0029504391902988036,-0.01606207504728996,0.019012514237588762,0.001900677654263383,-0.010217128336686976,0.012117805990950359,0.0129263965534967,-0.01262638956396167,0.021350764738367167,over_circular,0.0,0.0,0.0
149105289-149105300-001,moderate_dysplastic,baseline,-0.0032768926837577483,0.0,-0.0032768926837577483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032768926837577483,0.0,0.022513027091674798,over_circular,0.0,0.0,0.0
149105289-149105300-002,moderate_dysplastic,baseline,-0.030690986511265783,0.0053077612561899246,-0.03599874776745571,-7.171573042869568,-3.0294378995895386,-4.142135143280029,0.0021403040304829313,-0.006623179179942595,0.008763483210425527,-11.0,70.0,-81.0,0.0007945081354184813,-0.007116341172591967,0.007910849308010448,-0.0006991267309589544,0.00012004870268766954,-0.0008191754336466239,0.030690986511265783,-0.0053077612561899246,-0.10475183711289693,under_circular,0.0,0.0,0.0
