family,split,seed,model,degradation,metric,expected_direction,values_by_severity,trend_label,target
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,empirical_coverage,decrease,0.858696|0.869565|0.880435,inconsistent,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,coverage_gap,decrease,-0.0413043|-0.0304348|-0.0195652,inconsistent,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,interval_mean_width,increase,1.23976|1.23976|1.23976,partially_monotonic,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,empirical_coverage,decrease,0.857143|0.84153|0.863388,partially_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,coverage_gap,decrease,-0.0428571|-0.0584699|-0.036612,partially_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,interval_mean_width,increase,0.471045|0.471045|0.471045,partially_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,invalid_rate,increase,0.0108696|0.00543478|0.00543478,partially_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,empirical_coverage,decrease,0.82967|0.737705|0.557377,fully_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,coverage_gap,decrease,-0.0703297|-0.162295|-0.342623,fully_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,interval_mean_width,increase,0.471045|0.471045|0.471045,partially_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_noise,invalid_rate,increase,0.0108696|0.00543478|0.00543478,partially_monotonic,circularity
conformal,test,20260805,baseline,gaussian_blur,empirical_coverage,decrease,0.88587|0.891304|0.88587,partially_monotonic,nc
conformal,test,20260805,baseline,gaussian_blur,coverage_gap,decrease,-0.0141304|-0.00869565|-0.0141304,partially_monotonic,nc
conformal,test,20260805,baseline,gaussian_blur,interval_mean_width,increase,1.23527|1.23527|1.23527,partially_monotonic,nc
conformal,test,20260805,baseline,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260805,baseline,gaussian_noise,empirical_coverage,decrease,0.891304|0.88587|0.86413,fully_monotonic,nc
conformal,test,20260805,baseline,gaussian_noise,coverage_gap,decrease,-0.00869565|-0.0141304|-0.0358696,fully_monotonic,nc
conformal,test,20260805,baseline,gaussian_noise,interval_mean_width,increase,1.23527|1.23527|1.23527,partially_monotonic,nc
conformal,test,20260805,baseline,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260805,baseline,gaussian_blur,empirical_coverage,decrease,0.902174|0.891304|0.907609,partially_monotonic,circularity
conformal,test,20260805,baseline,gaussian_blur,coverage_gap,decrease,0.00217391|-0.00869565|0.0076087,partially_monotonic,circularity
conformal,test,20260805,baseline,gaussian_blur,interval_mean_width,increase,0.497867|0.497867|0.497867,partially_monotonic,circularity
conformal,test,20260805,baseline,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,circularity
conformal,test,20260805,baseline,gaussian_noise,empirical_coverage,decrease,0.875|0.842391|0.646739,fully_monotonic,circularity
conformal,test,20260805,baseline,gaussian_noise,coverage_gap,decrease,-0.025|-0.0576087|-0.253261,fully_monotonic,circularity
conformal,test,20260805,baseline,gaussian_noise,interval_mean_width,increase,0.497867|0.497867|0.497867,partially_monotonic,circularity
conformal,test,20260805,baseline,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,empirical_coverage,decrease,0.875|0.875|0.869565,partially_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,coverage_gap,decrease,-0.025|-0.025|-0.0304348,partially_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,interval_mean_width,increase,1.43854|1.43854|1.43854,partially_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,empirical_coverage,decrease,0.875|0.847826|0.744565,fully_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,coverage_gap,decrease,-0.025|-0.0521739|-0.155435,fully_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,interval_mean_width,increase,1.43854|1.43854|1.43854,partially_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,empirical_coverage,decrease,0.901639|0.907104|0.896175,partially_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,coverage_gap,decrease,0.00163934|0.00710383|-0.00382514,partially_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,interval_mean_width,increase,0.547752|0.547752|0.547752,partially_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_blur,invalid_rate,increase,0.00543478|0.00543478|0.00543478,partially_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,empirical_coverage,decrease,0.825137|0.693989|0.473054,fully_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,coverage_gap,decrease,-0.0748634|-0.206011|-0.426946,fully_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,interval_mean_width,increase,0.547752|0.547752|0.547752,partially_monotonic,circularity
conformal,test,20260805,nc_aware_lambda_0p10,gaussian_noise,invalid_rate,increase,0.00543478|0.00543478|0.0923913,partially_monotonic,circularity
