split,seed,model,degradation,severity,foreground_dice,nucleus_dice,cytoplasm_dice,mean_nc_absolute_error,median_nc_absolute_error,mean_circularity_absolute_error,invalid_nc_rate,invalid_circularity_rate
test,20260804,baseline,gaussian_blur,3,0.8247790913004265,0.8726239031450133,0.7769342794558398,0.27415740350329904,0.11815489799725357,0.11607781425217611,0.0,0.005434782608695652
test,20260804,baseline,gaussian_noise,10,0.8301086510136789,0.8830919690511041,0.777125332976254,0.2552963127128742,0.09627777884881572,0.12689024198177837,0.0,0.0
test,20260804,baseline,gaussian_noise,20,0.8177369937410547,0.8718018845519918,0.7636721029301178,0.2751587717702688,0.11280315598411961,0.16460426312301787,0.0,0.0
test,20260804,baseline,gaussian_noise,30,0.7729534443338469,0.8138290814909115,0.7320778071767822,0.3460190358023681,0.11622363857516824,0.2543603731788105,0.0,0.0
test,20260804,nc_aware_lambda_0p10,clean,clean,0.8095177023048842,0.8645011739804691,0.754534230629299,0.30421234761634747,0.14622358883181233,0.1324729623334748,0.0,0.010869565217391304
test,20260804,nc_aware_lambda_0p10,gaussian_blur,1,0.8086815128288812,0.8628459203047205,0.7545171053530418,0.30124150369619784,0.1373898457199112,0.12839833383834592,0.0,0.010869565217391304
test,20260804,nc_aware_lambda_0p10,gaussian_blur,2,0.8071676079072263,0.8614737218276943,0.7528614939867585,0.300817378325328,0.13714199439277117,0.12890893290172395,0.0,0.005434782608695652
test,20260804,nc_aware_lambda_0p10,gaussian_blur,3,0.8028200173722534,0.8572588639605243,0.7483811707839827,0.3061815233151318,0.1427898426856331,0.12171823120782796,0.0,0.005434782608695652
test,20260804,nc_aware_lambda_0p10,gaussian_noise,10,0.8086210558012376,0.8632546339157641,0.7539874776867108,0.2946361560673155,0.14576758487335523,0.14102749821760832,0.0,0.010869565217391304
test,20260804,nc_aware_lambda_0p10,gaussian_noise,20,0.802707168196025,0.856745475530945,0.7486688608611051,0.2883172828382261,0.12821618627341208,0.17335002138296943,0.0,0.005434782608695652
test,20260804,nc_aware_lambda_0p10,gaussian_noise,30,0.7640459428306058,0.8088071869703617,0.7192846986908499,0.3367825501955282,0.14935958700351643,0.2428822105521782,0.0,0.005434782608695652
test,20260805,baseline,clean,clean,0.8289552742604586,0.8866664139816139,0.7712441345393036,0.24250858309097972,0.10551642585427193,0.1209320440958376,0.0,0.0
test,20260805,baseline,gaussian_blur,1,0.8291587335405578,0.8858657039108743,0.7724517631702412,0.2406530714578224,0.10276279519605525,0.12172325763150829,0.0,0.0
test,20260805,baseline,gaussian_blur,2,0.8274301866026798,0.8826603227527435,0.772200050452616,0.24514221155081498,0.11366063360940626,0.11955061014572127,0.0,0.0
test,20260805,baseline,gaussian_blur,3,0.8227424850824351,0.8764126812110993,0.769072288953771,0.2605410169704999,0.11921292171655892,0.11536728938843864,0.0,0.0
test,20260805,baseline,gaussian_noise,10,0.8261775715147077,0.8847033024646739,0.7676518405647415,0.2389085055781441,0.11847459729565586,0.12113940660738982,0.0,0.0
test,20260805,baseline,gaussian_noise,20,0.8181752601593055,0.880114099857329,0.7562364204612824,0.2546769451940651,0.12377359553985662,0.1583929047641607,0.0,0.0
test,20260805,baseline,gaussian_noise,30,0.792479700980862,0.8542084810549505,0.7307509209067732,0.3022663883300822,0.11856580168145617,0.21687582976035535,0.0,0.0
test,20260805,nc_aware_lambda_0p10,clean,clean,0.8093122999793801,0.8635064542641421,0.755118145694618,0.3040811719373941,0.10301257155341631,0.14378843357595184,0.0,0.005434782608695652
test,20260805,nc_aware_lambda_0p10,gaussian_blur,1,0.8116494625783097,0.8661184722177965,0.7571804529388227,0.3017037445973337,0.10290624198691703,0.13158475964591929,0.0,0.005434782608695652
test,20260805,nc_aware_lambda_0p10,gaussian_blur,2,0.8125433494498608,0.8654176462403297,0.7596690526593923,0.3040605821205549,0.10398390062676394,0.12636267715386942,0.0,0.005434782608695652
test,20260805,nc_aware_lambda_0p10,gaussian_blur,3,0.8093489205477343,0.8609084054307685,0.7577894356646999,0.31529171906488096,0.10674877719426587,0.12393636393673842,0.0,0.005434782608695652
test,20260805,nc_aware_lambda_0p10,gaussian_noise,10,0.8016063775684931,0.8531482851484884,0.7500644699884979,0.3145418682717818,0.09636042589759095,0.16429932200023364,0.0,0.005434782608695652
test,20260805,nc_aware_lambda_0p10,gaussian_noise,20,0.7466373953588424,0.7745608037277204,0.7187139869899646,0.38724327570356076,0.14344489528140805,0.23481052343391615,0.0,0.005434782608695652
test,20260805,nc_aware_lambda_0p10,gaussian_noise,30,0.5842435767672592,0.5238818052764465,0.6446053482580723,0.5663931738930682,0.30355773181752155,0.32778236240038167,0.0,0.09239130434782608
