sample_id,parent_source_id,diagnostic_class,model,seed_aggregation,n_seed_rows,nucleus_dice,cytoplasm_dice,foreground_dice,cell_dice,area_ae,perimeter_ae,circularity_ae,nc_ae,invalid_prediction,invalid_circularity,invalid_nc
Superficial-Intermediate__083_04,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8369847753434831,0.9092632438303849,0.8680912801452586,0.9113161465400271,145.0,12.017244577407837,0.16477603658619278,0.0037058170062713065,0.0,0.0,0.0
Superficial-Intermediate__083_05,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.752858399296394,0.9059165501508573,0.8306159951393404,0.9096143509197089,19.0,8.627416610717773,0.1773077461240371,0.0015987243190617867,0.0,0.0,0.0
Superficial-Intermediate__083_06,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.13745403607074066,0.8120563435373394,0.47529600351679907,0.859029826668688,9600.0,348.0000002384186,0.36985715071024466,0.08460600362914142,0.0,0.0,0.0
Superficial-Intermediate__083_07,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.2999586263963591,0.839522305297366,0.5753748272236877,0.8726856552156979,3505.0,320.6274166107178,0.5412159047632166,0.037738581706566646,0.0,0.0,0.0
Superficial-Intermediate__083_08,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.14693739994944816,0.7911521826988618,0.469044791324155,0.8505754421596006,9765.0,658.3259009122849,0.46648123591236135,0.11476324083858631,0.0,0.0,0.0
Superficial-Intermediate__083_09,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.3389601620526671,0.8405008027311898,0.5897304823919285,0.8535563484010343,1598.0,75.61522400379181,0.36043774412463137,0.02027251257985102,0.0,0.0,0.0
Superficial-Intermediate__083_10,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8916292974588939,0.8772112691070826,0.8830046710210782,0.8808175972295906,116.0,10.644661545753479,0.26100090059353265,0.005845391670611273,0.0,0.0,0.0
Superficial-Intermediate__083_11,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.3702076677316294,0.8334507339888986,0.6141641197784137,0.8738837405223252,5966.0,196.1593803167343,0.42605302933966066,0.06114770172441408,0.0,0.0,0.0
Superficial-Intermediate__084_01,Superficial-Intermediate__084,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.9058269570335491,0.8988927960981133,0.9023598765658312,0.9024392851034718,246.0,13.330953359603882,0.12717689826255174,0.0012871969012129142,0.0,0.0,0.0
Superficial-Intermediate__084_02,Superficial-Intermediate__084,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8113137327874953,0.19617276031644215,0.48939569575789865,0.23018048301184257,507.0,12.426406025886536,0.1628887329339107,0.05930743193353581,0.0,0.0,0.0
